"RecordType","DateReceived","FileName","FileValue","CountTotal","DCACode"
"NewPlacementsFile","26/06/2018","Lucania_NewPlacementFile_20180626_48707.csv","1486.46","50","Lucania"
"GroveAccountReference","PrimaryAccountReference","SecondaryAccountReference","Currency Code","GroveAccountId","ClientBalance","ClientBalanceDate","GroveBookName","CountryOfOrigin","AssignmentId","AssignmentTypeCode","TotalAmountAssigned","SegmentName","LastPaymentAmount","LastPaymentDate","NumberOfPaymentsInColls","ValueOfPaymentsInColls","PaymentMethod","DefaultDate","DefaultAmount","TerminationReason","CoreDebtAmount","ChargesToDate","InterestToDate","PrimaryProductNumber","PrimaryProductDescription","PrimaryProductValue","PrimaryProductOpenDate","PrimaryProductCloseDate","AssociatedProduct1 AccountNumber","AssociatedProduct1 Description","AssociatedProduct1Value","AssociatedProduct1OpenDate","AssociatedProduct1CloseDate","AssociatedProduct2AccountNumber","AssociatedProduct2Description","AssociatedProduct2Value","AssociatedProduct2OpenDate","AssociatedProduct2CloseDate","AssociatedProduct3 AccountNumber","AssociatedProduct3 Description","AssociatedProduct3Value","AssociatedProduct3OpenDate","AssociatedProduct3CloseDate","GrovePropensityScore","LitigationStatus","ContractAvailable","Region","Originator","Participants","BankAccountNumber","SpareField1","SpareField2","SpareField3","SpareField4","SpareField5","SpareField6","SpareField7","SpareField8","SpareField9","SpareField10"
"TTI-608686465","253877501","","EUR","32653258","31.60","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.60","","","","Telecom","","2004-10-28","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608688115","254139802","","EUR","32653503","30.30","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.30","","","","Telecom","","2008-02-22","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608695185","255339902","","EUR","32654684","30.15","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.15","","","","Telecom","","2008-02-12","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608712238","258461403","","EUR","32657634","31.65","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.65","","","","Telecom","","2007-12-05","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608716999","259209801","","EUR","32658546","30.39","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.39","","","","Telecom","","2008-05-05","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608739256","263063901","","EUR","32662266","30.19","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.19","","","","Telecom","","2007-08-01","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608781878","273499411","","EUR","32670117","30.54","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.54","","","","Telecom","","2008-07-24","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608801890","278871201","","EUR","32674023","31.12","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.12","","","","Telecom","","2008-01-12","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608815544","282620911","","EUR","32676770","31.42","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.42","","","","Telecom","","2005-07-07","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608849873","289060321","","EUR","32682119","30.59","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.59","","","","Telecom","","2007-10-27","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
